Entity,cca3,Year,population
Bolivia,BOL,1990,6864839.0
Bolivia,BOL,1991,7011456.0
Bolivia,BOL,1992,7160917.0
Bolivia,BOL,1993,7312857.0
Bolivia,BOL,1994,7466792.0
Bolivia,BOL,1995,7622334.0
Bolivia,BOL,1996,7779268.0
Bolivia,BOL,1997,7937453.0
Bolivia,BOL,1998,8096761.0
Bolivia,BOL,1999,8257066.0
Bolivia,BOL,2000,8418270.0
Bolivia,BOL,2001,8580244.0
Bolivia,BOL,2002,8742822.0
Bolivia,BOL,2003,8905820.0
Bolivia,BOL,2004,9069044.0
Bolivia,BOL,2005,9232301.0
Bolivia,BOL,2006,9395449.0
Bolivia,BOL,2007,9558438.0
Bolivia,BOL,2008,9721457.0
Bolivia,BOL,2009,9884790.0
Bolivia,BOL,2010,1.0048597E7
Bolivia,BOL,2011,1.0212951E7
Bolivia,BOL,2012,1.0377677E7
Bolivia,BOL,2013,1.0542375E7
Bolivia,BOL,2014,1.0706517E7
Bolivia,BOL,2015,1.0869732E7
Bolivia,BOL,2016,1.1031822E7
Bolivia,BOL,2017,1.1192853E7
Bolivia,BOL,2018,1.135314E7
Bolivia,BOL,2019,1.1513102E7
Bolivia,BOL,2020,1.1673029E7
Bolivia,BOL,2021,1.1832936E7
Bolivia,BOL,2022,1.1992647E7
