Entity,cca3,Year,population
Brazil,BRA,1990,1.49003225E8
Brazil,BRA,1991,1.51648007E8
Brazil,BRA,1992,1.54259382E8
Brazil,BRA,1993,1.56849086E8
Brazil,BRA,1994,1.59432717E8
Brazil,BRA,1995,1.62019889E8
Brazil,BRA,1996,1.64614682E8
Brazil,BRA,1997,1.67209046E8
Brazil,BRA,1998,1.69785253E8
Brazil,BRA,1999,1.72318674E8
Brazil,BRA,2000,1.74790339E8
Brazil,BRA,2001,1.77196051E8
Brazil,BRA,2002,1.79537523E8
Brazil,BRA,2003,1.81809244E8
Brazil,BRA,2004,1.84006479E8
Brazil,BRA,2005,1.86127108E8
Brazil,BRA,2006,1.88167353E8
Brazil,BRA,2007,1.90130445E8
Brazil,BRA,2008,1.92030362E8
Brazil,BRA,2009,1.93886505E8
Brazil,BRA,2010,1.95713637E8
Brazil,BRA,2011,1.97514541E8
Brazil,BRA,2012,1.99287292E8
Brazil,BRA,2013,2.01035904E8
Brazil,BRA,2014,2.02763744E8
Brazil,BRA,2015,2.04471759E8
Brazil,BRA,2016,2.06163056E8
Brazil,BRA,2017,2.07833825E8
Brazil,BRA,2018,2.0946932E8
Brazil,BRA,2019,2.11049519E8
Brazil,BRA,2020,2.12559409E8
Brazil,BRA,2021,2.13993441E8
Brazil,BRA,2022,2.15353588E8
