Entity,cca3,Year,population
Brunei,BRN,1990,258714.0
Brunei,BRN,1991,266208.0
Brunei,BRN,1992,273888.0
Brunei,BRN,1993,281684.0
Brunei,BRN,1994,289452.0
Brunei,BRN,1995,297112.0
Brunei,BRN,1996,304620.0
Brunei,BRN,1997,311962.0
Brunei,BRN,1998,319135.0
Brunei,BRN,1999,326214.0
Brunei,BRN,2000,333166.0
Brunei,BRN,2001,340037.0
Brunei,BRN,2002,346777.0
Brunei,BRN,2003,353295.0
Brunei,BRN,2004,359434.0
Brunei,BRN,2005,365112.0
Brunei,BRN,2006,370262.0
Brunei,BRN,2007,374967.0
Brunei,BRN,2008,379418.0
Brunei,BRN,2009,383902.0
Brunei,BRN,2010,388634.0
Brunei,BRN,2011,393687.0
Brunei,BRN,2012,398997.0
Brunei,BRN,2013,404414.0
Brunei,BRN,2014,409778.0
Brunei,BRN,2015,414914.0
Brunei,BRN,2016,419791.0
Brunei,BRN,2017,424481.0
Brunei,BRN,2018,428960.0
Brunei,BRN,2019,433296.0
Brunei,BRN,2020,437483.0
Brunei,BRN,2021,441532.0
Brunei,BRN,2022,445429.0
