Entity,cca3,Year,population
Botswana,BWA,1990,1286756.0
Botswana,BWA,1991,1326321.0
Botswana,BWA,1992,1363541.0
Botswana,BWA,1993,1399110.0
Botswana,BWA,1994,1434061.0
Botswana,BWA,1995,1469173.0
Botswana,BWA,1996,1504724.0
Botswana,BWA,1997,1540424.0
Botswana,BWA,1998,1575827.0
Botswana,BWA,1999,1610260.0
Botswana,BWA,2000,1643333.0
Botswana,BWA,2001,1674674.0
Botswana,BWA,2002,1704637.0
Botswana,BWA,2003,1734387.0
Botswana,BWA,2004,1765533.0
Botswana,BWA,2005,1799077.0
Botswana,BWA,2006,1835911.0
Botswana,BWA,2007,1875458.0
Botswana,BWA,2008,1915636.0
Botswana,BWA,2009,1953495.0
Botswana,BWA,2010,1987106.0
Botswana,BWA,2011,2015406.0
Botswana,BWA,2012,2039551.0
Botswana,BWA,2013,2062551.0
Botswana,BWA,2014,2088619.0
Botswana,BWA,2015,2120716.0
Botswana,BWA,2016,2159925.0
Botswana,BWA,2017,2205076.0
Botswana,BWA,2018,2254067.0
Botswana,BWA,2019,2303703.0
Botswana,BWA,2020,2351625.0
Botswana,BWA,2021,2397240.0
Botswana,BWA,2022,2441154.0
