Entity,cca3,Year,population
Central African Republic,CAF,1990,2806740.0
Central African Republic,CAF,1991,2878507.0
Central African Republic,CAF,1992,2959236.0
Central African Republic,CAF,1993,3046148.0
Central African Republic,CAF,1994,3135017.0
Central African Republic,CAF,1995,3222662.0
Central African Republic,CAF,1996,3308235.0
Central African Republic,CAF,1997,3392432.0
Central African Republic,CAF,1998,3475485.0
Central African Republic,CAF,1999,3558019.0
Central African Republic,CAF,2000,3640421.0
Central African Republic,CAF,2001,3722016.0
Central African Republic,CAF,2002,3802129.0
Central African Republic,CAF,2003,3881185.0
Central African Republic,CAF,2004,3959883.0
Central African Republic,CAF,2005,4038380.0
Central African Republic,CAF,2006,4118075.0
Central African Republic,CAF,2007,4198004.0
Central African Republic,CAF,2008,4273368.0
Central African Republic,CAF,2009,4337623.0
Central African Republic,CAF,2010,4386765.0
Central African Republic,CAF,2011,4418639.0
Central African Republic,CAF,2012,4436411.0
Central African Republic,CAF,2013,4447945.0
Central African Republic,CAF,2014,4464171.0
Central African Republic,CAF,2015,4493171.0
Central African Republic,CAF,2016,4537683.0
Central African Republic,CAF,2017,4596023.0
Central African Republic,CAF,2018,4666375.0
Central African Republic,CAF,2019,4745179.0
Central African Republic,CAF,2020,4829764.0
Central African Republic,CAF,2021,4919987.0
Central African Republic,CAF,2022,5016678.0
