Entity,cca3,Year,population
Chile,CHL,1990,1.3274617E7
Chile,CHL,1991,1.3495255E7
Chile,CHL,1992,1.3719818E7
Chile,CHL,1993,1.3944934E7
Chile,CHL,1994,1.4166346E7
Chile,CHL,1995,1.4380864E7
Chile,CHL,1996,1.4587367E7
Chile,CHL,1997,1.4786227E7
Chile,CHL,1998,1.4977736E7
Chile,CHL,1999,1.5162801E7
Chile,CHL,2000,1.534235E7
Chile,CHL,2001,1.5516112E7
Chile,CHL,2002,1.5684413E7
Chile,CHL,2003,1.5849649E7
Chile,CHL,2004,1.6014972E7
Chile,CHL,2005,1.6182713E7
Chile,CHL,2006,1.6354507E7
Chile,CHL,2007,1.6530201E7
Chile,CHL,2008,1.6708255E7
Chile,CHL,2009,1.6886184E7
Chile,CHL,2010,1.7062531E7
Chile,CHL,2011,1.7233584E7
Chile,CHL,2012,1.7400359E7
Chile,CHL,2013,1.7571511E7
Chile,CHL,2014,1.7758969E7
Chile,CHL,2015,1.7969356E7
Chile,CHL,2016,1.8209072E7
Chile,CHL,2017,1.8470435E7
Chile,CHL,2018,1.8729166E7
Chile,CHL,2019,1.8952035E7
Chile,CHL,2020,1.9116209E7
Chile,CHL,2021,1.9212362E7
Chile,CHL,2022,1.9250192E7
