Entity,cca3,Year,population
China,CHN,1990,1.176883681E9
China,CHN,1991,1.192897277E9
China,CHN,1992,1.206711243E9
China,CHN,1993,1.218817059E9
China,CHN,1994,1.230020026E9
China,CHN,1995,1.240920539E9
China,CHN,1996,1.251636178E9
China,CHN,1997,1.261996017E9
China,CHN,1998,1.271982349E9
China,CHN,1999,1.281514833E9
China,CHN,2000,1.290550767E9
China,CHN,2001,1.299129747E9
China,CHN,2002,1.307352256E9
China,CHN,2003,1.315303522E9
China,CHN,2004,1.323084639E9
China,CHN,2005,1.33077638E9
China,CHN,2006,1.338408644E9
China,CHN,2007,1.345993891E9
China,CHN,2008,1.35356948E9
China,CHN,2009,1.36116941E9
China,CHN,2010,1.368810604E9
China,CHN,2011,1.376497633E9
China,CHN,2012,1.384206408E9
China,CHN,2013,1.391883335E9
China,CHN,2014,1.399453966E9
China,CHN,2015,1.406847868E9
China,CHN,2016,1.414049353E9
China,CHN,2017,1.421021794E9
China,CHN,2018,1.427647789E9
China,CHN,2019,1.433783692E9
China,CHN,2020,1.439323774E9
China,CHN,2021,1.444216102E9
China,CHN,2022,1.448471404E9
