Entity,cca3,Year,population
Cote d'Ivoire,CIV,1990,1.1924873E7
Cote d'Ivoire,CIV,1991,1.2362404E7
Cote d'Ivoire,CIV,1992,1.2812428E7
Cote d'Ivoire,CIV,1993,1.3271638E7
Cote d'Ivoire,CIV,1994,1.3735438E7
Cote d'Ivoire,CIV,1995,1.4199759E7
Cote d'Ivoire,CIV,1996,1.4665125E7
Cote d'Ivoire,CIV,1997,1.5130674E7
Cote d'Ivoire,CIV,1998,1.5589407E7
Cote d'Ivoire,CIV,1999,1.6032573E7
Cote d'Ivoire,CIV,2000,1.645466E7
Cote d'Ivoire,CIV,2001,1.6853027E7
Cote d'Ivoire,CIV,2002,1.7231539E7
Cote d'Ivoire,CIV,2003,1.7599613E7
Cote d'Ivoire,CIV,2004,1.7970493E7
Cote d'Ivoire,CIV,2005,1.8354513E7
Cote d'Ivoire,CIV,2006,1.8754914E7
Cote d'Ivoire,CIV,2007,1.917125E7
Cote d'Ivoire,CIV,2008,1.9605568E7
Cote d'Ivoire,CIV,2009,2.0059147E7
Cote d'Ivoire,CIV,2010,2.0532944E7
Cote d'Ivoire,CIV,2011,2.1028652E7
Cote d'Ivoire,CIV,2012,2.1547188E7
Cote d'Ivoire,CIV,2013,2.2087506E7
Cote d'Ivoire,CIV,2014,2.2647672E7
Cote d'Ivoire,CIV,2015,2.3226148E7
Cote d'Ivoire,CIV,2016,2.3822726E7
Cote d'Ivoire,CIV,2017,2.4437475E7
Cote d'Ivoire,CIV,2018,2.5069226E7
Cote d'Ivoire,CIV,2019,2.5716554E7
Cote d'Ivoire,CIV,2020,2.6378275E7
Cote d'Ivoire,CIV,2021,2.7053629E7
Cote d'Ivoire,CIV,2022,2.7742301E7
