Entity,cca3,Year,population
Cameroon,CMR,1990,1.1780086E7
Cameroon,CMR,1991,1.2137912E7
Cameroon,CMR,1992,1.2499499E7
Cameroon,CMR,1993,1.2864091E7
Cameroon,CMR,1994,1.3230978E7
Cameroon,CMR,1995,1.3599984E7
Cameroon,CMR,1996,1.3970812E7
Cameroon,CMR,1997,1.4344444E7
Cameroon,CMR,1998,1.4723772E7
Cameroon,CMR,1999,1.5112598E7
Cameroon,CMR,2000,1.5513944E7
Cameroon,CMR,2001,1.592891E7
Cameroon,CMR,2002,1.6357605E7
Cameroon,CMR,2003,1.6800869E7
Cameroon,CMR,2004,1.7259322E7
Cameroon,CMR,2005,1.7733408E7
Cameroon,CMR,2006,1.8223677E7
Cameroon,CMR,2007,1.8730283E7
Cameroon,CMR,2008,1.9252674E7
Cameroon,CMR,2009,1.9789922E7
Cameroon,CMR,2010,2.0341236E7
Cameroon,CMR,2011,2.0906392E7
Cameroon,CMR,2012,2.1485267E7
Cameroon,CMR,2013,2.20773E7
Cameroon,CMR,2014,2.2681853E7
Cameroon,CMR,2015,2.3298376E7
Cameroon,CMR,2016,2.3926549E7
Cameroon,CMR,2017,2.456607E7
Cameroon,CMR,2018,2.5216261E7
Cameroon,CMR,2019,2.5876387E7
Cameroon,CMR,2020,2.6545864E7
Cameroon,CMR,2021,2.7224262E7
Cameroon,CMR,2022,2.7911544E7
