Entity,cca3,Year,population
Democratic Republic of Congo,COD,1990,3.4612023E7
Democratic Republic of Congo,COD,1991,3.590824E7
Democratic Republic of Congo,COD,1992,3.7333917E7
Democratic Republic of Congo,COD,1993,3.8815835E7
Democratic Republic of Congo,COD,1994,4.0252973E7
Democratic Republic of Congo,COD,1995,4.1576239E7
Democratic Republic of Congo,COD,1996,4.2757239E7
Democratic Republic of Congo,COD,1997,4.3827191E7
Democratic Republic of Congo,COD,1998,4.4849968E7
Democratic Republic of Congo,COD,1999,4.5919615E7
Democratic Republic of Congo,COD,2000,4.710583E7
Democratic Republic of Congo,COD,2001,4.8428534E7
Democratic Republic of Congo,COD,2002,4.987167E7
Democratic Republic of Congo,COD,2003,5.1425583E7
Democratic Republic of Congo,COD,2004,5.3068869E7
Democratic Republic of Congo,COD,2005,5.4785894E7
Democratic Republic of Congo,COD,2006,5.6578046E7
Democratic Republic of Congo,COD,2007,5.8453687E7
Democratic Republic of Congo,COD,2008,6.0411195E7
Democratic Republic of Congo,COD,2009,6.2448572E7
Democratic Republic of Congo,COD,2010,6.4563853E7
Democratic Republic of Congo,COD,2011,6.6755151E7
Democratic Republic of Congo,COD,2012,6.9020749E7
Democratic Republic of Congo,COD,2013,7.1358804E7
Democratic Republic of Congo,COD,2014,7.3767445E7
Democratic Republic of Congo,COD,2015,7.6244532E7
Democratic Republic of Congo,COD,2016,7.878913E7
Democratic Republic of Congo,COD,2017,8.1398765E7
Democratic Republic of Congo,COD,2018,8.4068092E7
Democratic Republic of Congo,COD,2019,8.6790568E7
Democratic Republic of Congo,COD,2020,8.9561404E7
Democratic Republic of Congo,COD,2021,9.2377986E7
Democratic Republic of Congo,COD,2022,9.5240782E7
