Entity,cca3,Year,population
Congo,COG,1990,2356740.0
Congo,COG,1991,2422312.0
Congo,COG,1992,2489945.0
Congo,COG,1993,2559880.0
Congo,COG,1994,2632345.0
Congo,COG,1995,2707532.0
Congo,COG,1996,2785815.0
Congo,COG,1997,2867283.0
Congo,COG,1998,2951651.0
Congo,COG,1999,3038432.0
Congo,COG,2000,3127420.0
Congo,COG,2001,3217930.0
Congo,COG,2002,3310376.0
Congo,COG,2003,3406915.0
Congo,COG,2004,3510468.0
Congo,COG,2005,3622775.0
Congo,COG,2006,3745143.0
Congo,COG,2007,3876123.0
Congo,COG,2008,4011487.0
Congo,COG,2009,4145399.0
Congo,COG,2010,4273738.0
Congo,COG,2011,4394842.0
Congo,COG,2012,4510197.0
Congo,COG,2013,4622757.0
Congo,COG,2014,4736965.0
Congo,COG,2015,4856093.0
Congo,COG,2016,4980996.0
Congo,COG,2017,5110701.0
Congo,COG,2018,5244363.0
Congo,COG,2019,5380504.0
Congo,COG,2020,5518092.0
Congo,COG,2021,5657017.0
Congo,COG,2022,5797801.0
