Entity,cca3,Year,population
Cook Islands,COK,1990,18195.0
Cook Islands,COK,1991,18419.0
Cook Islands,COK,1992,18678.0
Cook Islands,COK,1993,18934.0
Cook Islands,COK,1994,19081.0
Cook Islands,COK,1995,19105.0
Cook Islands,COK,1996,18948.0
Cook Islands,COK,1997,18653.0
Cook Islands,COK,1998,18313.0
Cook Islands,COK,1999,18042.0
Cook Islands,COK,2000,17935.0
Cook Islands,COK,2001,18017.0
Cook Islands,COK,2002,18274.0
Cook Islands,COK,2003,18609.0
Cook Islands,COK,2004,18892.0
Cook Islands,COK,2005,19070.0
Cook Islands,COK,2006,19094.0
Cook Islands,COK,2007,18994.0
Cook Islands,COK,2008,18808.0
Cook Islands,COK,2009,18602.0
Cook Islands,COK,2010,18392.0
Cook Islands,COK,2011,18200.0
Cook Islands,COK,2012,18009.0
Cook Islands,COK,2013,17834.0
Cook Islands,COK,2014,17685.0
Cook Islands,COK,2015,17581.0
Cook Islands,COK,2016,17521.0
Cook Islands,COK,2017,17505.0
Cook Islands,COK,2018,17519.0
Cook Islands,COK,2019,17547.0
Cook Islands,COK,2020,17564.0
Cook Islands,COK,2021,17572.0
Cook Islands,COK,2022,17564.0
