Entity,cca3,Year,population
Colombia,COL,1990,3.3102569E7
Colombia,COL,1991,3.3758328E7
Colombia,COL,1992,3.4422568E7
Colombia,COL,1993,3.5091272E7
Colombia,COL,1994,3.5758978E7
Colombia,COL,1995,3.6421438E7
Colombia,COL,1996,3.7076387E7
Colombia,COL,1997,3.7723803E7
Colombia,COL,1998,3.8364307E7
Colombia,COL,1999,3.8999468E7
Colombia,COL,2000,3.9629965E7
Colombia,COL,2001,4.0255956E7
Colombia,COL,2002,4.0875363E7
Colombia,COL,2003,4.1483872E7
Colombia,COL,2004,4.2075953E7
Colombia,COL,2005,4.2647731E7
Colombia,COL,2006,4.3200901E7
Colombia,COL,2007,4.3737512E7
Colombia,COL,2008,4.4254972E7
Colombia,COL,2009,4.4750054E7
Colombia,COL,2010,4.5222699E7
Colombia,COL,2011,4.5662747E7
Colombia,COL,2012,4.6075721E7
Colombia,COL,2013,4.6495492E7
Colombia,COL,2014,4.6967706E7
Colombia,COL,2015,4.7520667E7
Colombia,COL,2016,4.8175048E7
Colombia,COL,2017,4.8909844E7
Colombia,COL,2018,4.9661056E7
Colombia,COL,2019,5.0339443E7
Colombia,COL,2020,5.0882884E7
Colombia,COL,2021,5.1265841E7
Colombia,COL,2022,5.1512766E7
