Entity,cca3,Year,population
Comoros,COM,1990,411598.0
Comoros,COM,1991,423873.0
Comoros,COM,1992,436454.0
Comoros,COM,1993,449270.0
Comoros,COM,1994,462280.0
Comoros,COM,1995,475394.0
Comoros,COM,1996,488625.0
Comoros,COM,1997,501955.0
Comoros,COM,1998,515381.0
Comoros,COM,1999,528853.0
Comoros,COM,2000,542358.0
Comoros,COM,2001,555895.0
Comoros,COM,2002,569480.0
Comoros,COM,2003,583213.0
Comoros,COM,2004,597230.0
Comoros,COM,2005,611625.0
Comoros,COM,2006,626427.0
Comoros,COM,2007,641624.0
Comoros,COM,2008,657227.0
Comoros,COM,2009,673251.0
Comoros,COM,2010,689696.0
Comoros,COM,2011,706578.0
Comoros,COM,2012,723865.0
Comoros,COM,2013,741511.0
Comoros,COM,2014,759390.0
Comoros,COM,2015,777435.0
Comoros,COM,2016,795597.0
Comoros,COM,2017,813890.0
Comoros,COM,2018,832322.0
Comoros,COM,2019,850891.0
Comoros,COM,2020,869595.0
Comoros,COM,2021,888456.0
Comoros,COM,2022,907411.0
