Entity,cca3,Year,population
Cape Verde,CPV,1990,337953.0
Cape Verde,CPV,1991,346229.0
Cape Verde,CPV,1992,355763.0
Cape Verde,CPV,1993,366057.0
Cape Verde,CPV,1994,376409.0
Cape Verde,CPV,1995,386288.0
Cape Verde,CPV,1996,395533.0
Cape Verde,CPV,1997,404248.0
Cape Verde,CPV,1998,412513.0
Cape Verde,CPV,1999,420456.0
Cape Verde,CPV,2000,428178.0
Cape Verde,CPV,2001,435701.0
Cape Verde,CPV,2002,442955.0
Cape Verde,CPV,2003,449925.0
Cape Verde,CPV,2004,456619.0
Cape Verde,CPV,2005,463034.0
Cape Verde,CPV,2006,469171.0
Cape Verde,CPV,2007,475067.0
Cape Verde,CPV,2008,480846.0
Cape Verde,CPV,2009,486667.0
Cape Verde,CPV,2010,492644.0
Cape Verde,CPV,2011,498858.0
Cape Verde,CPV,2012,505241.0
Cape Verde,CPV,2013,511740.0
Cape Verde,CPV,2014,518275.0
Cape Verde,CPV,2015,524740.0
Cape Verde,CPV,2016,531140.0
Cape Verde,CPV,2017,537499.0
Cape Verde,CPV,2018,543764.0
Cape Verde,CPV,2019,549936.0
Cape Verde,CPV,2020,555988.0
Cape Verde,CPV,2021,561901.0
Cape Verde,CPV,2022,567676.0
