Entity,cca3,Year,population
Costa Rica,CRI,1990,3119436.0
Costa Rica,CRI,1991,3202083.0
Costa Rica,CRI,1992,3286525.0
Costa Rica,CRI,1993,3372298.0
Costa Rica,CRI,1994,3458829.0
Costa Rica,CRI,1995,3545524.0
Costa Rica,CRI,1996,3632361.0
Costa Rica,CRI,1997,3718952.0
Costa Rica,CRI,1998,3803893.0
Costa Rica,CRI,1999,3885428.0
Costa Rica,CRI,2000,3962369.0
Costa Rica,CRI,2001,4034074.0
Costa Rica,CRI,2002,4100921.0
Costa Rica,CRI,2003,4164053.0
Costa Rica,CRI,2004,4225156.0
Costa Rica,CRI,2005,4285504.0
Costa Rica,CRI,2006,4345421.0
Costa Rica,CRI,2007,4404626.0
Costa Rica,CRI,2008,4463123.0
Costa Rica,CRI,2009,4520739.0
Costa Rica,CRI,2010,4577371.0
Costa Rica,CRI,2011,4633086.0
Costa Rica,CRI,2012,4688003.0
Costa Rica,CRI,2013,4742111.0
Costa Rica,CRI,2014,4795390.0
Costa Rica,CRI,2015,4847805.0
Costa Rica,CRI,2016,4899336.0
Costa Rica,CRI,2017,4949955.0
Costa Rica,CRI,2018,4999443.0
Costa Rica,CRI,2019,5047561.0
Costa Rica,CRI,2020,5094114.0
Costa Rica,CRI,2021,5139053.0
Costa Rica,CRI,2022,5182352.0
