Entity,cca3,Year,population
Czechia,CZE,1990,1.0340877E7
Czechia,CZE,1991,1.0346458E7
Czechia,CZE,1992,1.0353021E7
Czechia,CZE,1993,1.0358694E7
Czechia,CZE,1994,1.0360964E7
Czechia,CZE,1995,1.035819E7
Czechia,CZE,1996,1.0350302E7
Czechia,CZE,1997,1.0338346E7
Czechia,CZE,1998,1.0323244E7
Czechia,CZE,1999,1.0306404E7
Czechia,CZE,2000,1.0289374E7
Czechia,CZE,2001,1.0271019E7
Czechia,CZE,2002,1.0252264E7
Czechia,CZE,2003,1.0239131E7
Czechia,CZE,2004,1.0239444E7
Czechia,CZE,2005,1.0258165E7
Czechia,CZE,2006,1.0298609E7
Czechia,CZE,2007,1.0357535E7
Czechia,CZE,2008,1.0425267E7
Czechia,CZE,2009,1.0488155E7
Czechia,CZE,2010,1.0536514E7
Czechia,CZE,2011,1.0566512E7
Czechia,CZE,2012,1.0581302E7
Czechia,CZE,2013,1.0586529E7
Czechia,CZE,2014,1.0591104E7
Czechia,CZE,2015,1.060139E7
Czechia,CZE,2016,1.0618868E7
Czechia,CZE,2017,1.0641032E7
Czechia,CZE,2018,1.0665679E7
Czechia,CZE,2019,1.0689213E7
Czechia,CZE,2020,1.0708982E7
Czechia,CZE,2021,1.0724553E7
Czechia,CZE,2022,1.0736782E7
