Entity,cca3,Year,population
Germany,DEU,1990,7.9053984E7
Germany,DEU,1991,7.9490831E7
Germany,DEU,1992,7.9963166E7
Germany,DEU,1993,8.0428557E7
Germany,DEU,1994,8.0832928E7
Germany,DEU,1995,8.1138653E7
Germany,DEU,1996,8.1323666E7
Germany,DEU,1997,8.139925E7
Germany,DEU,1998,8.1402671E7
Germany,DEU,1999,8.1389935E7
Germany,DEU,2000,8.1400883E7
Germany,DEU,2001,8.1453894E7
Germany,DEU,2002,8.1535124E7
Germany,DEU,2003,8.1614371E7
Germany,DEU,2004,8.1646474E7
Germany,DEU,2005,8.1602739E7
Germany,DEU,2006,8.1472235E7
Germany,DEU,2007,8.1277836E7
Germany,DEU,2008,8.1065751E7
Germany,DEU,2009,8.0899961E7
Germany,DEU,2010,8.0827001E7
Germany,DEU,2011,8.0855629E7
Germany,DEU,2012,8.0972629E7
Germany,DEU,2013,8.1174373E7
Germany,DEU,2014,8.145037E7
Germany,DEU,2015,8.1787411E7
Germany,DEU,2016,8.219377E7
Germany,DEU,2017,8.2658409E7
Germany,DEU,2018,8.3124413E7
Germany,DEU,2019,8.3517046E7
Germany,DEU,2020,8.3783945E7
Germany,DEU,2021,8.3900471E7
Germany,DEU,2022,8.3883587E7
