Entity,cca3,Year,population
Djibouti,DJI,1990,590393.0
Djibouti,DJI,1991,606843.0
Djibouti,DJI,1992,615050.0
Djibouti,DJI,1993,618504.0
Djibouti,DJI,1994,622364.0
Djibouti,DJI,1995,630385.0
Djibouti,DJI,1996,643649.0
Djibouti,DJI,1997,660858.0
Djibouti,DJI,1998,680465.0
Djibouti,DJI,1999,699973.0
Djibouti,DJI,2000,717577.0
Djibouti,DJI,2001,733019.0
Djibouti,DJI,2002,746947.0
Djibouti,DJI,2003,759639.0
Djibouti,DJI,2004,771599.0
Djibouti,DJI,2005,783248.0
Djibouti,DJI,2006,794554.0
Djibouti,DJI,2007,805456.0
Djibouti,DJI,2008,816361.0
Djibouti,DJI,2009,827820.0
Djibouti,DJI,2010,840194.0
Djibouti,DJI,2011,853671.0
Djibouti,DJI,2012,868136.0
Djibouti,DJI,2013,883296.0
Djibouti,DJI,2014,898707.0
Djibouti,DJI,2015,913998.0
Djibouti,DJI,2016,929117.0
Djibouti,DJI,2017,944100.0
Djibouti,DJI,2018,958923.0
Djibouti,DJI,2019,973557.0
Djibouti,DJI,2020,988002.0
Djibouti,DJI,2021,1002197.0
Djibouti,DJI,2022,1016098.0
