Entity,cca3,Year,population
Denmark,DNK,1990,5141117.0
Denmark,DNK,1991,5154906.0
Denmark,DNK,1992,5171654.0
Denmark,DNK,1993,5190745.0
Denmark,DNK,1994,5211334.0
Denmark,DNK,1995,5232709.0
Denmark,DNK,1996,5254857.0
Denmark,DNK,1997,5277713.0
Denmark,DNK,1998,5300380.0
Denmark,DNK,1999,5321771.0
Denmark,DNK,2000,5341192.0
Denmark,DNK,2001,5358059.0
Denmark,DNK,2002,5372798.0
Denmark,DNK,2003,5386968.0
Denmark,DNK,2004,5402754.0
Denmark,DNK,2005,5421701.0
Denmark,DNK,2006,5444293.0
Denmark,DNK,2007,5469920.0
Denmark,DNK,2008,5497731.0
Denmark,DNK,2009,5526389.0
Denmark,DNK,2010,5554849.0
Denmark,DNK,2011,5582980.0
Denmark,DNK,2012,5610909.0
Denmark,DNK,2013,5638152.0
Denmark,DNK,2014,5664199.0
Denmark,DNK,2015,5688695.0
Denmark,DNK,2016,5711346.0
Denmark,DNK,2017,5732277.0
Denmark,DNK,2018,5752131.0
Denmark,DNK,2019,5771877.0
Denmark,DNK,2020,5792203.0
Denmark,DNK,2021,5813302.0
Denmark,DNK,2022,5834952.0
