Entity,cca3,Year,population
Dominican Republic,DOM,1990,7133491.0
Dominican Republic,DOM,1991,7270413.0
Dominican Republic,DOM,1992,7408339.0
Dominican Republic,DOM,1993,7546467.0
Dominican Republic,DOM,1994,7683707.0
Dominican Republic,DOM,1995,7819239.0
Dominican Republic,DOM,1996,7952766.0
Dominican Republic,DOM,1997,8084407.0
Dominican Republic,DOM,1998,8214427.0
Dominican Republic,DOM,1999,8343288.0
Dominican Republic,DOM,2000,8471317.0
Dominican Republic,DOM,2001,8598599.0
Dominican Republic,DOM,2002,8724974.0
Dominican Republic,DOM,2003,8850317.0
Dominican Republic,DOM,2004,8974444.0
Dominican Republic,DOM,2005,9097262.0
Dominican Republic,DOM,2006,9218681.0
Dominican Republic,DOM,2007,9338856.0
Dominican Republic,DOM,2008,9458079.0
Dominican Republic,DOM,2009,9576736.0
Dominican Republic,DOM,2010,9695117.0
Dominican Republic,DOM,2011,9813219.0
Dominican Republic,DOM,2012,9930916.0
Dominican Republic,DOM,2013,1.0048226E7
Dominican Republic,DOM,2014,1.0165182E7
Dominican Republic,DOM,2015,1.0281675E7
Dominican Republic,DOM,2016,1.0397738E7
Dominican Republic,DOM,2017,1.0513111E7
Dominican Republic,DOM,2018,1.0627147E7
Dominican Republic,DOM,2019,1.0738957E7
Dominican Republic,DOM,2020,1.0847904E7
Dominican Republic,DOM,2021,1.0953714E7
Dominican Republic,DOM,2022,1.1056374E7
