Entity,cca3,Year,population
Algeria,DZA,1990,2.5758872E7
Algeria,DZA,1991,2.6400468E7
Algeria,DZA,1992,2.702833E7
Algeria,DZA,1993,2.7635517E7
Algeria,DZA,1994,2.8213777E7
Algeria,DZA,1995,2.8757788E7
Algeria,DZA,1996,2.9266415E7
Algeria,DZA,1997,2.974298E7
Algeria,DZA,1998,3.019275E7
Algeria,DZA,1999,3.0623406E7
Algeria,DZA,2000,3.1042238E7
Algeria,DZA,2001,3.1451513E7
Algeria,DZA,2002,3.185511E7
Algeria,DZA,2003,3.2264159E7
Algeria,DZA,2004,3.2692153E7
Algeria,DZA,2005,3.314972E7
Algeria,DZA,2006,3.3641007E7
Algeria,DZA,2007,3.4166976E7
Algeria,DZA,2008,3.4730604E7
Algeria,DZA,2009,3.5333882E7
Algeria,DZA,2010,3.5977451E7
Algeria,DZA,2011,3.6661438E7
Algeria,DZA,2012,3.7383899E7
Algeria,DZA,2013,3.8140135E7
Algeria,DZA,2014,3.8923688E7
Algeria,DZA,2015,3.972802E7
Algeria,DZA,2016,4.0551398E7
Algeria,DZA,2017,4.1389174E7
Algeria,DZA,2018,4.2228415E7
Algeria,DZA,2019,4.3053054E7
Algeria,DZA,2020,4.3851043E7
Algeria,DZA,2021,4.4616626E7
Algeria,DZA,2022,4.5350141E7
