Entity,cca3,Year,population
Ecuador,ECU,1990,1.0230931E7
Ecuador,ECU,1991,1.0472476E7
Ecuador,ECU,1992,1.0716131E7
Ecuador,ECU,1993,1.096146E7
Ecuador,ECU,1994,1.1207999E7
Ecuador,ECU,1995,1.1455205E7
Ecuador,ECU,1996,1.1703169E7
Ecuador,ECU,1997,1.1951457E7
Ecuador,ECU,1998,1.2198449E7
Ecuador,ECU,1999,1.2442109E7
Ecuador,ECU,2000,1.2681123E7
Ecuador,ECU,2001,1.291466E7
Ecuador,ECU,2002,1.3143465E7
Ecuador,ECU,2003,1.3369678E7
Ecuador,ECU,2004,1.359639E7
Ecuador,ECU,2005,1.3825839E7
Ecuador,ECU,2006,1.4059379E7
Ecuador,ECU,2007,1.4296554E7
Ecuador,ECU,2008,1.453574E7
Ecuador,ECU,2009,1.4774412E7
Ecuador,ECU,2010,1.5011114E7
Ecuador,ECU,2011,1.5243885E7
Ecuador,ECU,2012,1.5474099E7
Ecuador,ECU,2013,1.5707473E7
Ecuador,ECU,2014,1.5951832E7
Ecuador,ECU,2015,1.6212022E7
Ecuador,ECU,2016,1.6491116E7
Ecuador,ECU,2017,1.6785356E7
Ecuador,ECU,2018,1.7084359E7
Ecuador,ECU,2019,1.7373657E7
Ecuador,ECU,2020,1.764306E7
Ecuador,ECU,2021,1.7888474E7
Ecuador,ECU,2022,1.8113365E7
