Entity,cca3,Year,population
Egypt,EGY,1990,5.6134478E7
Egypt,EGY,1991,5.7424552E7
Egypt,EGY,1992,5.8666812E7
Egypt,EGY,1993,5.9880656E7
Egypt,EGY,1994,6.1095804E7
Egypt,EGY,1995,6.2334025E7
Egypt,EGY,1996,6.3601632E7
Egypt,EGY,1997,6.4892269E7
Egypt,EGY,1998,6.6200259E7
Egypt,EGY,1999,6.7515591E7
Egypt,EGY,2000,6.8831561E7
Egypt,EGY,2001,7.0152662E7
Egypt,EGY,2002,7.1485044E7
Egypt,EGY,2003,7.2826102E7
Egypt,EGY,2004,7.4172073E7
Egypt,EGY,2005,7.5523576E7
Egypt,EGY,2006,7.687367E7
Egypt,EGY,2007,7.8232124E7
Egypt,EGY,2008,7.9636081E7
Egypt,EGY,2009,8.1134789E7
Egypt,EGY,2010,8.2761244E7
Egypt,EGY,2011,8.4529251E7
Egypt,EGY,2012,8.642224E7
Egypt,EGY,2013,8.8404652E7
Egypt,EGY,2014,9.0424668E7
Egypt,EGY,2015,9.2442549E7
Egypt,EGY,2016,9.4447071E7
Egypt,EGY,2017,9.644259E7
Egypt,EGY,2018,9.8423602E7
Egypt,EGY,2019,1.00388076E8
Egypt,EGY,2020,1.02334403E8
Egypt,EGY,2021,1.04258327E8
Egypt,EGY,2022,1.06156692E8
