Entity,cca3,Year,population
Eritrea,ERI,1990,2258649.0
Eritrea,ERI,1991,2266356.0
Eritrea,ERI,1992,2257593.0
Eritrea,ERI,1993,2238631.0
Eritrea,ERI,1994,2218436.0
Eritrea,ERI,1995,2204227.0
Eritrea,ERI,1996,2196467.0
Eritrea,ERI,1997,2195192.0
Eritrea,ERI,1998,2206439.0
Eritrea,ERI,1999,2237412.0
Eritrea,ERI,2000,2292413.0
Eritrea,ERI,2001,2374721.0
Eritrea,ERI,2002,2481059.0
Eritrea,ERI,2003,2600972.0
Eritrea,ERI,2004,2719809.0
Eritrea,ERI,2005,2826653.0
Eritrea,ERI,2006,2918209.0
Eritrea,ERI,2007,2996540.0
Eritrea,ERI,2008,3062782.0
Eritrea,ERI,2009,3119920.0
Eritrea,ERI,2010,3170437.0
Eritrea,ERI,2011,3213969.0
Eritrea,ERI,2012,3250104.0
Eritrea,ERI,2013,3281453.0
Eritrea,ERI,2014,3311444.0
Eritrea,ERI,2015,3342818.0
Eritrea,ERI,2016,3376558.0
Eritrea,ERI,2017,3412894.0
Eritrea,ERI,2018,3452797.0
Eritrea,ERI,2019,3497117.0
Eritrea,ERI,2020,3546427.0
Eritrea,ERI,2021,3601462.0
Eritrea,ERI,2022,3662248.0
