Entity,cca3,Year,population
Western Sahara,ESH,1990,217258.0
Western Sahara,ESH,1991,224391.0
Western Sahara,ESH,1992,231731.0
Western Sahara,ESH,1993,239334.0
Western Sahara,ESH,1994,247259.0
Western Sahara,ESH,1995,255635.0
Western Sahara,ESH,1996,264106.0
Western Sahara,ESH,1997,272843.0
Western Sahara,ESH,1998,283072.0
Western Sahara,ESH,1999,296508.0
Western Sahara,ESH,2000,314116.0
Western Sahara,ESH,2001,336647.0
Western Sahara,ESH,2002,363225.0
Western Sahara,ESH,2003,391177.0
Western Sahara,ESH,2004,416804.0
Western Sahara,ESH,2005,437516.0
Western Sahara,ESH,2006,452357.0
Western Sahara,ESH,2007,462210.0
Western Sahara,ESH,2008,468630.0
Western Sahara,ESH,2009,474045.0
Western Sahara,ESH,2010,480268.0
Western Sahara,ESH,2011,487654.0
Western Sahara,ESH,2012,495773.0
Western Sahara,ESH,2013,504858.0
Western Sahara,ESH,2014,514984.0
Western Sahara,ESH,2015,526211.0
Western Sahara,ESH,2016,538744.0
Western Sahara,ESH,2017,552617.0
Western Sahara,ESH,2018,567396.0
Western Sahara,ESH,2019,582458.0
Western Sahara,ESH,2020,597330.0
Western Sahara,ESH,2021,611872.0
Western Sahara,ESH,2022,626168.0
