Entity,cca3,Year,population
Spain,ESP,1990,3.9202524E7
Spain,ESP,1991,3.9299081E7
Spain,ESP,1992,3.9410852E7
Spain,ESP,1993,3.9533726E7
Spain,ESP,1994,3.9660079E7
Spain,ESP,1995,3.9787413E7
Spain,ESP,1996,3.9908962E7
Spain,ESP,1997,4.0035286E7
Spain,ESP,1998,4.0201561E7
Spain,ESP,1999,4.0454472E7
Spain,ESP,2000,4.0824745E7
Spain,ESP,2001,4.1319431E7
Spain,ESP,2002,4.1919593E7
Spain,ESP,2003,4.2596455E7
Spain,ESP,2004,4.3308345E7
Spain,ESP,2005,4.4019118E7
Spain,ESP,2006,4.4728561E7
Spain,ESP,2007,4.5429071E7
Spain,ESP,2008,4.6068811E7
Spain,ESP,2009,4.6583566E7
Spain,ESP,2010,4.6931011E7
Spain,ESP,2011,4.7084242E7
Spain,ESP,2012,4.7063059E7
Spain,ESP,2013,4.6930554E7
Spain,ESP,2014,4.6777927E7
Spain,ESP,2015,4.6671919E7
Spain,ESP,2016,4.6634131E7
Spain,ESP,2017,4.6647425E7
Spain,ESP,2018,4.6692863E7
Spain,ESP,2019,4.6736782E7
Spain,ESP,2020,4.6754783E7
Spain,ESP,2021,4.6745211E7
Spain,ESP,2022,4.6719147E7
