Entity,cca3,Year,population
Estonia,EST,1990,1565246.0
Estonia,EST,1991,1548220.0
Estonia,EST,1992,1520811.0
Estonia,EST,1993,1488060.0
Estonia,EST,1994,1457090.0
Estonia,EST,1995,1433026.0
Estonia,EST,1996,1417741.0
Estonia,EST,1997,1409678.0
Estonia,EST,1998,1406350.0
Estonia,EST,1999,1403784.0
Estonia,EST,2000,1399111.0
Estonia,EST,2001,1391739.0
Estonia,EST,2002,1382737.0
Estonia,EST,2003,1372904.0
Estonia,EST,2004,1363570.0
Estonia,EST,2005,1355650.0
Estonia,EST,2006,1349373.0
Estonia,EST,2007,1344295.0
Estonia,EST,2008,1340067.0
Estonia,EST,2009,1336140.0
Estonia,EST,2010,1332103.0
Estonia,EST,2011,1327701.0
Estonia,EST,2012,1323163.0
Estonia,EST,2013,1319068.0
Estonia,EST,2014,1316273.0
Estonia,EST,2015,1315330.0
Estonia,EST,2016,1316507.0
Estonia,EST,2017,1319389.0
Estonia,EST,2018,1322913.0
Estonia,EST,2019,1325649.0
Estonia,EST,2020,1326539.0
Estonia,EST,2021,1325188.0
Estonia,EST,2022,1321905.0
