Entity,cca3,Year,population
Ethiopia,ETH,1990,4.7887864E7
Ethiopia,ETH,1991,4.9609976E7
Ethiopia,ETH,1992,5.1423591E7
Ethiopia,ETH,1993,5.3295556E7
Ethiopia,ETH,1994,5.5180993E7
Ethiopia,ETH,1995,5.7047906E7
Ethiopia,ETH,1996,5.8883531E7
Ethiopia,ETH,1997,6.0697443E7
Ethiopia,ETH,1998,6.2507724E7
Ethiopia,ETH,1999,6.4343008E7
Ethiopia,ETH,2000,6.6224808E7
Ethiopia,ETH,2001,6.8159422E7
Ethiopia,ETH,2002,7.014209E7
Ethiopia,ETH,2003,7.2170581E7
Ethiopia,ETH,2004,7.4239508E7
Ethiopia,ETH,2005,7.634631E7
Ethiopia,ETH,2006,7.8489205E7
Ethiopia,ETH,2007,8.0674343E7
Ethiopia,ETH,2008,8.2916236E7
Ethiopia,ETH,2009,8.5233923E7
Ethiopia,ETH,2010,8.7639962E7
Ethiopia,ETH,2011,9.0139928E7
Ethiopia,ETH,2012,9.2726982E7
Ethiopia,ETH,2013,9.5385793E7
Ethiopia,ETH,2014,9.8094264E7
Ethiopia,ETH,2015,1.00835453E8
Ethiopia,ETH,2016,1.03603461E8
Ethiopia,ETH,2017,1.06399926E8
Ethiopia,ETH,2018,1.0922441E8
Ethiopia,ETH,2019,1.12078727E8
Ethiopia,ETH,2020,1.14963583E8
Ethiopia,ETH,2021,1.17876226E8
Ethiopia,ETH,2022,1.20812698E8
