Entity,cca3,Year,population
Finland,FIN,1990,4996220.0
Finland,FIN,1991,5019134.0
Finland,FIN,1992,5044928.0
Finland,FIN,1993,5071782.0
Finland,FIN,1994,5097090.0
Finland,FIN,1995,5119012.0
Finland,FIN,1996,5136984.0
Finland,FIN,1997,5151740.0
Finland,FIN,1998,5164236.0
Finland,FIN,1999,5175921.0
Finland,FIN,2000,5187953.0
Finland,FIN,2001,5200475.0
Finland,FIN,2002,5213368.0
Finland,FIN,2003,5227106.0
Finland,FIN,2004,5242175.0
Finland,FIN,2005,5258933.0
Finland,FIN,2006,5277490.0
Finland,FIN,2007,5297741.0
Finland,FIN,2008,5319452.0
Finland,FIN,2009,5342266.0
Finland,FIN,2010,5365784.0
Finland,FIN,2011,5390036.0
Finland,FIN,2012,5414769.0
Finland,FIN,2013,5438984.0
Finland,FIN,2014,5461410.0
Finland,FIN,2015,5481128.0
Finland,FIN,2016,5497714.0
Finland,FIN,2017,5511372.0
Finland,FIN,2018,5522585.0
Finland,FIN,2019,5532159.0
Finland,FIN,2020,5540718.0
Finland,FIN,2021,5548361.0
Finland,FIN,2022,5554956.0
