Entity,cca3,Year,population
France,FRA,1990,5.6666861E7
France,FRA,1991,5.691358E7
France,FRA,1992,5.7147213E7
France,FRA,1993,5.7370375E7
France,FRA,1994,5.7587122E7
France,FRA,1995,5.7801887E7
France,FRA,1996,5.8012055E7
France,FRA,1997,5.8220657E7
France,FRA,1998,5.8444245E7
France,FRA,1999,5.8704381E7
France,FRA,2000,5.9015092E7
France,FRA,2001,5.9384126E7
France,FRA,2002,5.9803434E7
France,FRA,2003,6.0251591E7
France,FRA,2004,6.0697977E7
France,FRA,2005,6.1120128E7
France,FRA,2006,6.1508924E7
France,FRA,2007,6.1869229E7
France,FRA,2008,6.2209207E7
France,FRA,2009,6.2542883E7
France,FRA,2010,6.2879535E7
France,FRA,2011,6.3222229E7
France,FRA,2012,6.3564224E7
France,FRA,2013,6.3893521E7
France,FRA,2014,6.419355E7
France,FRA,2015,6.4453194E7
France,FRA,2016,6.466759E7
France,FRA,2017,6.4842513E7
France,FRA,2018,6.4990512E7
France,FRA,2019,6.5129731E7
France,FRA,2020,6.5273512E7
France,FRA,2021,6.5426177E7
France,FRA,2022,6.5584513E7
