Entity,cca3,Year,population
Micronesia (country),FSM,1990,96304.0
Micronesia (country),FSM,1991,98779.0
Micronesia (country),FSM,1992,101386.0
Micronesia (country),FSM,1993,103901.0
Micronesia (country),FSM,1994,106030.0
Micronesia (country),FSM,1995,107535.0
Micronesia (country),FSM,1996,108311.0
Micronesia (country),FSM,1997,108473.0
Micronesia (country),FSM,1998,108206.0
Micronesia (country),FSM,1999,107769.0
Micronesia (country),FSM,2000,107405.0
Micronesia (country),FSM,2001,107170.0
Micronesia (country),FSM,2002,107027.0
Micronesia (country),FSM,2003,106902.0
Micronesia (country),FSM,2004,106624.0
Micronesia (country),FSM,2005,106135.0
Micronesia (country),FSM,2006,105374.0
Micronesia (country),FSM,2007,104442.0
Micronesia (country),FSM,2008,103549.0
Micronesia (country),FSM,2009,102971.0
Micronesia (country),FSM,2010,102916.0
Micronesia (country),FSM,2011,103448.0
Micronesia (country),FSM,2012,104506.0
Micronesia (country),FSM,2013,105922.0
Micronesia (country),FSM,2014,107444.0
Micronesia (country),FSM,2015,108886.0
Micronesia (country),FSM,2016,110215.0
Micronesia (country),FSM,2017,111461.0
Micronesia (country),FSM,2018,112640.0
Micronesia (country),FSM,2019,113811.0
Micronesia (country),FSM,2020,115021.0
Micronesia (country),FSM,2021,116255.0
Micronesia (country),FSM,2022,117486.0
