Entity,cca3,Year,population
Gabon,GAB,1990,949493.0
Gabon,GAB,1991,975785.0
Gabon,GAB,1992,1002573.0
Gabon,GAB,1993,1029769.0
Gabon,GAB,1994,1057252.0
Gabon,GAB,1995,1084951.0
Gabon,GAB,1996,1112944.0
Gabon,GAB,1997,1141332.0
Gabon,GAB,1998,1170061.0
Gabon,GAB,1999,1199058.0
Gabon,GAB,2000,1228359.0
Gabon,GAB,2001,1258008.0
Gabon,GAB,2002,1288310.0
Gabon,GAB,2003,1319946.0
Gabon,GAB,2004,1353788.0
Gabon,GAB,2005,1390550.0
Gabon,GAB,2006,1430144.0
Gabon,GAB,2007,1472565.0
Gabon,GAB,2008,1518538.0
Gabon,GAB,2009,1568925.0
Gabon,GAB,2010,1624146.0
Gabon,GAB,2011,1684629.0
Gabon,GAB,2012,1749677.0
Gabon,GAB,2013,1817070.0
Gabon,GAB,2014,1883801.0
Gabon,GAB,2015,1947690.0
Gabon,GAB,2016,2007882.0
Gabon,GAB,2017,2064812.0
Gabon,GAB,2018,2119275.0
Gabon,GAB,2019,2172578.0
Gabon,GAB,2020,2225728.0
Gabon,GAB,2021,2278829.0
Gabon,GAB,2022,2331532.0
