Entity,cca3,Year,population
Georgia,GEO,1990,5410400.0
Georgia,GEO,1991,5372996.0
Georgia,GEO,1992,5303925.0
Georgia,GEO,1993,5208954.0
Georgia,GEO,1994,5097126.0
Georgia,GEO,1995,4976252.0
Georgia,GEO,1996,4846627.0
Georgia,GEO,1997,4709596.0
Georgia,GEO,1998,4575396.0
Georgia,GEO,1999,4456652.0
Georgia,GEO,2000,4362184.0
Georgia,GEO,2001,4296981.0
Georgia,GEO,2002,4258573.0
Georgia,GEO,2003,4238930.0
Georgia,GEO,2004,4225811.0
Georgia,GEO,2005,4210158.0
Georgia,GEO,2006,4189721.0
Georgia,GEO,2007,4166859.0
Georgia,GEO,2008,4142648.0
Georgia,GEO,2009,4119490.0
Georgia,GEO,2010,4099095.0
Georgia,GEO,2011,4081012.0
Georgia,GEO,2012,4064097.0
Georgia,GEO,2013,4048701.0
Georgia,GEO,2014,4035310.0
Georgia,GEO,2015,4024180.0
Georgia,GEO,2016,4015457.0
Georgia,GEO,2017,4008723.0
Georgia,GEO,2018,4002946.0
Georgia,GEO,2019,3996762.0
Georgia,GEO,2020,3989175.0
Georgia,GEO,2021,3979773.0
Georgia,GEO,2022,3968728.0
