Entity,cca3,Year,population
Ghana,GHA,1990,1.4773274E7
Ghana,GHA,1991,1.520736E7
Ghana,GHA,1992,1.5653345E7
Ghana,GHA,1993,1.6106756E7
Ghana,GHA,1994,1.6561677E7
Ghana,GHA,1995,1.7014058E7
Ghana,GHA,1996,1.7462504E7
Ghana,GHA,1997,1.7908977E7
Ghana,GHA,1998,1.8357159E7
Ghana,GHA,1999,1.8812369E7
Ghana,GHA,2000,1.927885E7
Ghana,GHA,2001,1.9756929E7
Ghana,GHA,2002,2.0246376E7
Ghana,GHA,2003,2.0750308E7
Ghana,GHA,2004,2.1272328E7
Ghana,GHA,2005,2.1814648E7
Ghana,GHA,2006,2.2379057E7
Ghana,GHA,2007,2.2963946E7
Ghana,GHA,2008,2.3563832E7
Ghana,GHA,2009,2.4170943E7
Ghana,GHA,2010,2.4779614E7
Ghana,GHA,2011,2.5387713E7
Ghana,GHA,2012,2.5996454E7
Ghana,GHA,2013,2.6607641E7
Ghana,GHA,2014,2.722448E7
Ghana,GHA,2015,2.7849203E7
Ghana,GHA,2016,2.8481947E7
Ghana,GHA,2017,2.9121464E7
Ghana,GHA,2018,2.9767108E7
Ghana,GHA,2019,3.0417858E7
Ghana,GHA,2020,3.1072945E7
Ghana,GHA,2021,3.1732128E7
Ghana,GHA,2022,3.2395454E7
