Entity,cca3,Year,population
Guinea,GIN,1990,6352282.0
Guinea,GIN,1991,6534936.0
Guinea,GIN,1992,6716032.0
Guinea,GIN,1993,6897171.0
Guinea,GIN,1994,7081119.0
Guinea,GIN,1995,7269631.0
Guinea,GIN,1996,7463782.0
Guinea,GIN,1997,7662071.0
Guinea,GIN,1998,7860772.0
Guinea,GIN,1999,8054745.0
Guinea,GIN,2000,8240735.0
Guinea,GIN,2001,8417082.0
Guinea,GIN,2002,8586077.0
Guinea,GIN,2003,8753097.0
Guinea,GIN,2004,8925729.0
Guinea,GIN,2005,9109585.0
Guinea,GIN,2006,9307421.0
Guinea,GIN,2007,9518159.0
Guinea,GIN,2008,9738796.0
Guinea,GIN,2009,9964470.0
Guinea,GIN,2010,1.0192168E7
Guinea,GIN,2011,1.0420459E7
Guinea,GIN,2012,1.0652032E7
Guinea,GIN,2013,1.0892821E7
Guinea,GIN,2014,1.115097E7
Guinea,GIN,2015,1.1432096E7
Guinea,GIN,2016,1.1738434E7
Guinea,GIN,2017,1.2067516E7
Guinea,GIN,2018,1.2414292E7
Guinea,GIN,2019,1.2771246E7
Guinea,GIN,2020,1.3132792E7
Guinea,GIN,2021,1.3497237E7
Guinea,GIN,2022,1.3865692E7
