Entity,cca3,Year,population
Guadeloupe,GLP,1990,389251.0
Guadeloupe,GLP,1991,394615.0
Guadeloupe,GLP,1992,397692.0
Guadeloupe,GLP,1993,399380.0
Guadeloupe,GLP,1994,401066.0
Guadeloupe,GLP,1995,403731.0
Guadeloupe,GLP,1996,407784.0
Guadeloupe,GLP,1997,412739.0
Guadeloupe,GLP,1998,417621.0
Guadeloupe,GLP,1999,421035.0
Guadeloupe,GLP,2000,422048.0
Guadeloupe,GLP,2001,420248.0
Guadeloupe,GLP,2002,416132.0
Guadeloupe,GLP,2003,410868.0
Guadeloupe,GLP,2004,406068.0
Guadeloupe,GLP,2005,402903.0
Guadeloupe,GLP,2006,401809.0
Guadeloupe,GLP,2007,402405.0
Guadeloupe,GLP,2008,403967.0
Guadeloupe,GLP,2009,405444.0
Guadeloupe,GLP,2010,406073.0
Guadeloupe,GLP,2011,405643.0
Guadeloupe,GLP,2012,404446.0
Guadeloupe,GLP,2013,402826.0
Guadeloupe,GLP,2014,401305.0
Guadeloupe,GLP,2015,400260.0
Guadeloupe,GLP,2016,399760.0
Guadeloupe,GLP,2017,399679.0
Guadeloupe,GLP,2018,399848.0
Guadeloupe,GLP,2019,400048.0
Guadeloupe,GLP,2020,400127.0
Guadeloupe,GLP,2021,400013.0
Guadeloupe,GLP,2022,399802.0
