Entity,cca3,Year,population
Gambia,GMB,1990,955595.0
Gambia,GMB,1991,992671.0
Gambia,GMB,1992,1027476.0
Gambia,GMB,1993,1060861.0
Gambia,GMB,1994,1094219.0
Gambia,GMB,1995,1128577.0
Gambia,GMB,1996,1164091.0
Gambia,GMB,1997,1200522.0
Gambia,GMB,1998,1238124.0
Gambia,GMB,1999,1277118.0
Gambia,GMB,2000,1317708.0
Gambia,GMB,2001,1360070.0
Gambia,GMB,2002,1404263.0
Gambia,GMB,2003,1449925.0
Gambia,GMB,2004,1496524.0
Gambia,GMB,2005,1543745.0
Gambia,GMB,2006,1591444.0
Gambia,GMB,2007,1639846.0
Gambia,GMB,2008,1689288.0
Gambia,GMB,2009,1740277.0
Gambia,GMB,2010,1793199.0
Gambia,GMB,2011,1848142.0
Gambia,GMB,2012,1905020.0
Gambia,GMB,2013,1963708.0
Gambia,GMB,2014,2024037.0
Gambia,GMB,2015,2085860.0
Gambia,GMB,2016,2149134.0
Gambia,GMB,2017,2213900.0
Gambia,GMB,2018,2280092.0
Gambia,GMB,2019,2347696.0
Gambia,GMB,2020,2416664.0
Gambia,GMB,2021,2486937.0
Gambia,GMB,2022,2558493.0
