Entity,cca3,Year,population
Guinea-Bissau,GNB,1990,975265.0
Guinea-Bissau,GNB,1991,997522.0
Guinea-Bissau,GNB,1992,1020353.0
Guinea-Bissau,GNB,1993,1043421.0
Guinea-Bissau,GNB,1994,1066345.0
Guinea-Bissau,GNB,1995,1088850.0
Guinea-Bissau,GNB,1996,1110835.0
Guinea-Bissau,GNB,1997,1132505.0
Guinea-Bissau,GNB,1998,1154372.0
Guinea-Bissau,GNB,1999,1177133.0
Guinea-Bissau,GNB,2000,1201305.0
Guinea-Bissau,GNB,2001,1227105.0
Guinea-Bissau,GNB,2002,1254454.0
Guinea-Bissau,GNB,2003,1283297.0
Guinea-Bissau,GNB,2004,1313492.0
Guinea-Bissau,GNB,2005,1344931.0
Guinea-Bissau,GNB,2006,1377582.0
Guinea-Bissau,GNB,2007,1411545.0
Guinea-Bissau,GNB,2008,1446936.0
Guinea-Bissau,GNB,2009,1483920.0
Guinea-Bissau,GNB,2010,1522603.0
Guinea-Bissau,GNB,2011,1562996.0
Guinea-Bissau,GNB,2012,1604981.0
Guinea-Bissau,GNB,2013,1648259.0
Guinea-Bissau,GNB,2014,1692433.0
Guinea-Bissau,GNB,2015,1737207.0
Guinea-Bissau,GNB,2016,1782434.0
Guinea-Bissau,GNB,2017,1828146.0
Guinea-Bissau,GNB,2018,1874304.0
Guinea-Bissau,GNB,2019,1920917.0
Guinea-Bissau,GNB,2020,1967998.0
Guinea-Bissau,GNB,2021,2015490.0
Guinea-Bissau,GNB,2022,2063360.0
