Entity,cca3,Year,population
Equatorial Guinea,GNQ,1990,419188.0
Equatorial Guinea,GNQ,1991,432844.0
Equatorial Guinea,GNQ,1992,447269.0
Equatorial Guinea,GNQ,1993,462637.0
Equatorial Guinea,GNQ,1994,479099.0
Equatorial Guinea,GNQ,1995,496768.0
Equatorial Guinea,GNQ,1996,515844.0
Equatorial Guinea,GNQ,1997,536459.0
Equatorial Guinea,GNQ,1998,558496.0
Equatorial Guinea,GNQ,1999,581765.0
Equatorial Guinea,GNQ,2000,606180.0
Equatorial Guinea,GNQ,2001,631662.0
Equatorial Guinea,GNQ,2002,658388.0
Equatorial Guinea,GNQ,2003,686670.0
Equatorial Guinea,GNQ,2004,716949.0
Equatorial Guinea,GNQ,2005,749527.0
Equatorial Guinea,GNQ,2006,784494.0
Equatorial Guinea,GNQ,2007,821686.0
Equatorial Guinea,GNQ,2008,860839.0
Equatorial Guinea,GNQ,2009,901589.0
Equatorial Guinea,GNQ,2010,943640.0
Equatorial Guinea,GNQ,2011,986861.0
Equatorial Guinea,GNQ,2012,1031191.0
Equatorial Guinea,GNQ,2013,1076412.0
Equatorial Guinea,GNQ,2014,1122273.0
Equatorial Guinea,GNQ,2015,1168575.0
Equatorial Guinea,GNQ,2016,1215181.0
Equatorial Guinea,GNQ,2017,1262008.0
Equatorial Guinea,GNQ,2018,1308966.0
Equatorial Guinea,GNQ,2019,1355982.0
Equatorial Guinea,GNQ,2020,1402985.0
Equatorial Guinea,GNQ,2021,1449891.0
Equatorial Guinea,GNQ,2022,1496673.0
