Entity,cca3,Year,population
Greece,GRC,1990,1.022599E7
Greece,GRC,1991,1.0315109E7
Greece,GRC,1992,1.0420226E7
Greece,GRC,1993,1.0533811E7
Greece,GRC,1994,1.0644939E7
Greece,GRC,1995,1.0745502E7
Greece,GRC,1996,1.0832139E7
Greece,GRC,1997,1.0906248E7
Greece,GRC,1998,1.0970121E7
Greece,GRC,1999,1.1027899E7
Greece,GRC,2000,1.1082103E7
Greece,GRC,2001,1.1134447E7
Greece,GRC,2002,1.1182308E7
Greece,GRC,2003,1.1218879E7
Greece,GRC,2004,1.1234993E7
Greece,GRC,2005,1.12248E7
Greece,GRC,2006,1.1185231E7
Greece,GRC,2007,1.1120371E7
Greece,GRC,2008,1.1040312E7
Greece,GRC,2009,1.0959268E7
Greece,GRC,2010,1.088764E7
Greece,GRC,2011,1.0829074E7
Greece,GRC,2012,1.0781119E7
Greece,GRC,2013,1.0740501E7
Greece,GRC,2014,1.070146E7
Greece,GRC,2015,1.0659737E7
Greece,GRC,2016,1.0615183E7
Greece,GRC,2017,1.0569449E7
Greece,GRC,2018,1.0522244E7
Greece,GRC,2019,1.0473452E7
Greece,GRC,2020,1.0423056E7
Greece,GRC,2021,1.0370747E7
Greece,GRC,2022,1.0316641E7
