Entity,cca3,Year,population
Greenland,GRL,1990,55604.0
Greenland,GRL,1991,55783.0
Greenland,GRL,1992,55857.0
Greenland,GRL,1993,55847.0
Greenland,GRL,1994,55817.0
Greenland,GRL,1995,55810.0
Greenland,GRL,1996,55830.0
Greenland,GRL,1997,55873.0
Greenland,GRL,1998,55951.0
Greenland,GRL,1999,56052.0
Greenland,GRL,2000,56177.0
Greenland,GRL,2001,56336.0
Greenland,GRL,2002,56518.0
Greenland,GRL,2003,56707.0
Greenland,GRL,2004,56868.0
Greenland,GRL,2005,56949.0
Greenland,GRL,2006,56968.0
Greenland,GRL,2007,56928.0
Greenland,GRL,2008,56836.0
Greenland,GRL,2009,56729.0
Greenland,GRL,2010,56638.0
Greenland,GRL,2011,56555.0
Greenland,GRL,2012,56477.0
Greenland,GRL,2013,56412.0
Greenland,GRL,2014,56383.0
Greenland,GRL,2015,56378.0
Greenland,GRL,2016,56408.0
Greenland,GRL,2017,56473.0
Greenland,GRL,2018,56565.0
Greenland,GRL,2019,56660.0
Greenland,GRL,2020,56772.0
Greenland,GRL,2021,56868.0
Greenland,GRL,2022,56975.0
