Entity,cca3,Year,population
Guatemala,GTM,1990,9263820.0
Guatemala,GTM,1991,9483273.0
Guatemala,GTM,1992,9708552.0
Guatemala,GTM,1993,9938699.0
Guatemala,GTM,1994,1.0172303E7
Guatemala,GTM,1995,1.0408486E7
Guatemala,GTM,1996,1.0646676E7
Guatemala,GTM,1997,1.0887637E7
Guatemala,GTM,1998,1.1133502E7
Guatemala,GTM,1999,1.1387208E7
Guatemala,GTM,2000,1.1650744E7
Guatemala,GTM,2001,1.1924941E7
Guatemala,GTM,2002,1.2208854E7
Guatemala,GTM,2003,1.2500479E7
Guatemala,GTM,2004,1.2796926E7
Guatemala,GTM,2005,1.3096028E7
Guatemala,GTM,2006,1.3397022E7
Guatemala,GTM,2007,1.3700326E7
Guatemala,GTM,2008,1.400642E7
Guatemala,GTM,2009,1.4316251E7
Guatemala,GTM,2010,1.463042E7
Guatemala,GTM,2011,1.4948792E7
Guatemala,GTM,2012,1.5270774E7
Guatemala,GTM,2013,1.5595821E7
Guatemala,GTM,2014,1.5923238E7
Guatemala,GTM,2015,1.6252425E7
Guatemala,GTM,2016,1.6583079E7
Guatemala,GTM,2017,1.6914979E7
Guatemala,GTM,2018,1.7247855E7
Guatemala,GTM,2019,1.7581476E7
Guatemala,GTM,2020,1.7915567E7
Guatemala,GTM,2021,1.8249868E7
Guatemala,GTM,2022,1.8584043E7
