Entity,cca3,Year,population
Guam,GUM,1990,130479.0
Guam,GUM,1991,133553.0
Guam,GUM,1992,136693.0
Guam,GUM,1993,139813.0
Guam,GUM,1994,142806.0
Guam,GUM,1995,145559.0
Guam,GUM,1996,148061.0
Guam,GUM,1997,150303.0
Guam,GUM,1998,152274.0
Guam,GUM,1999,153955.0
Guam,GUM,2000,155323.0
Guam,GUM,2001,156395.0
Guam,GUM,2002,157173.0
Guam,GUM,2003,157723.0
Guam,GUM,2004,158094.0
Guam,GUM,2005,158406.0
Guam,GUM,2006,158649.0
Guam,GUM,2007,158848.0
Guam,GUM,2008,159037.0
Guam,GUM,2009,159232.0
Guam,GUM,2010,159439.0
Guam,GUM,2011,159690.0
Guam,GUM,2012,159990.0
Guam,GUM,2013,160415.0
Guam,GUM,2014,161007.0
Guam,GUM,2015,161851.0
Guam,GUM,2016,162948.0
Guam,GUM,2017,164281.0
Guam,GUM,2018,165770.0
Guam,GUM,2019,167295.0
Guam,GUM,2020,168783.0
Guam,GUM,2021,170184.0
Guam,GUM,2022,171528.0
