Entity,cca3,Year,population
Guyana,GUY,1990,743306.0
Guyana,GUY,1991,744477.0
Guyana,GUY,1992,748596.0
Guyana,GUY,1993,754141.0
Guyana,GUY,1994,758896.0
Guyana,GUY,1995,761298.0
Guyana,GUY,1996,760801.0
Guyana,GUY,1997,757975.0
Guyana,GUY,1998,753778.0
Guyana,GUY,1999,749676.0
Guyana,GUY,2000,746718.0
Guyana,GUY,2001,745206.0
Guyana,GUY,2002,744789.0
Guyana,GUY,2003,745142.0
Guyana,GUY,2004,745737.0
Guyana,GUY,2005,746156.0
Guyana,GUY,2006,746335.0
Guyana,GUY,2007,746477.0
Guyana,GUY,2008,746815.0
Guyana,GUY,2009,747718.0
Guyana,GUY,2010,749430.0
Guyana,GUY,2011,752029.0
Guyana,GUY,2012,755388.0
Guyana,GUY,2013,759281.0
Guyana,GUY,2014,763371.0
Guyana,GUY,2015,767433.0
Guyana,GUY,2016,771363.0
Guyana,GUY,2017,775218.0
Guyana,GUY,2018,779007.0
Guyana,GUY,2019,782775.0
Guyana,GUY,2020,786559.0
Guyana,GUY,2021,790329.0
Guyana,GUY,2022,794039.0
