Entity,cca3,Year,population
Hong Kong,HKG,1990,5727942.0
Hong Kong,HKG,1991,5800040.0
Hong Kong,HKG,1992,5864745.0
Hong Kong,HKG,1993,5928336.0
Hong Kong,HKG,1994,5999619.0
Hong Kong,HKG,1995,6084234.0
Hong Kong,HKG,1996,6185584.0
Hong Kong,HKG,1997,6299912.0
Hong Kong,HKG,1998,6416996.0
Hong Kong,HKG,1999,6522461.0
Hong Kong,HKG,2000,6606328.0
Hong Kong,HKG,2001,6664775.0
Hong Kong,HKG,2002,6701771.0
Hong Kong,HKG,2003,6724687.0
Hong Kong,HKG,2004,6744563.0
Hong Kong,HKG,2005,6769579.0
Hong Kong,HKG,2006,6802083.0
Hong Kong,HKG,2007,6840017.0
Hong Kong,HKG,2008,6881861.0
Hong Kong,HKG,2009,6924642.0
Hong Kong,HKG,2010,6966324.0
Hong Kong,HKG,2011,7006598.0
Hong Kong,HKG,2012,7046847.0
Hong Kong,HKG,2013,7088780.0
Hong Kong,HKG,2014,7134668.0
Hong Kong,HKG,2015,7185992.0
Hong Kong,HKG,2016,7243541.0
Hong Kong,HKG,2017,7306315.0
Hong Kong,HKG,2018,7371728.0
Hong Kong,HKG,2019,7436157.0
Hong Kong,HKG,2020,7496988.0
Hong Kong,HKG,2021,7552800.0
Hong Kong,HKG,2022,7604306.0
