Entity,cca3,Year,population
Honduras,HND,1990,4955302.0
Honduras,HND,1991,5098594.0
Honduras,HND,1992,5244677.0
Honduras,HND,1993,5394416.0
Honduras,HND,1994,5548969.0
Honduras,HND,1995,5709010.0
Honduras,HND,1996,5874814.0
Honduras,HND,1997,6045704.0
Honduras,HND,1998,6220405.0
Honduras,HND,1999,6397140.0
Honduras,HND,2000,6574510.0
Honduras,HND,2001,6751912.0
Honduras,HND,2002,6929267.0
Honduras,HND,2003,7106323.0
Honduras,HND,2004,7282953.0
Honduras,HND,2005,7458982.0
Honduras,HND,2006,7634295.0
Honduras,HND,2007,7808520.0
Honduras,HND,2008,7980955.0
Honduras,HND,2009,8150780.0
Honduras,HND,2010,8317467.0
Honduras,HND,2011,8480670.0
Honduras,HND,2012,8640692.0
Honduras,HND,2013,8798524.0
Honduras,HND,2014,8955579.0
Honduras,HND,2015,9112904.0
Honduras,HND,2016,9270794.0
Honduras,HND,2017,9429016.0
Honduras,HND,2018,9587523.0
Honduras,HND,2019,9746115.0
Honduras,HND,2020,9904608.0
Honduras,HND,2021,1.0062994E7
Honduras,HND,2022,1.0221256E7
