Entity,cca3,Year,population
Croatia,HRV,1990,4776370.0
Croatia,HRV,1991,4760003.0
Croatia,HRV,1992,4732866.0
Croatia,HRV,1993,4697537.0
Croatia,HRV,1994,4657800.0
Croatia,HRV,1995,4616763.0
Croatia,HRV,1996,4574888.0
Croatia,HRV,1997,4532405.0
Croatia,HRV,1998,4491906.0
Croatia,HRV,1999,4456446.0
Croatia,HRV,2000,4428075.0
Croatia,HRV,2001,4408073.0
Croatia,HRV,2002,4395802.0
Croatia,HRV,2003,4388909.0
Croatia,HRV,2004,4383877.0
Croatia,HRV,2005,4378066.0
Croatia,HRV,2006,4370782.0
Croatia,HRV,2007,4362427.0
Croatia,HRV,2008,4352639.0
Croatia,HRV,2009,4341261.0
Croatia,HRV,2010,4328163.0
Croatia,HRV,2011,4313098.0
Croatia,HRV,2012,4295869.0
Croatia,HRV,2013,4276593.0
Croatia,HRV,2014,4255518.0
Croatia,HRV,2015,4232874.0
Croatia,HRV,2016,4208611.0
Croatia,HRV,2017,4182846.0
Croatia,HRV,2018,4156407.0
Croatia,HRV,2019,4130299.0
Croatia,HRV,2020,4105268.0
Croatia,HRV,2021,4081657.0
Croatia,HRV,2022,4059285.0
