Entity,cca3,Year,population
Haiti,HTI,1990,7037915.0
Haiti,HTI,1991,7178611.0
Haiti,HTI,1992,7319491.0
Haiti,HTI,1993,7460684.0
Haiti,HTI,1994,7602318.0
Haiti,HTI,1995,7744509.0
Haiti,HTI,1996,7887312.0
Haiti,HTI,1997,8030721.0
Haiti,HTI,1998,8174680.0
Haiti,HTI,1999,8319070.0
Haiti,HTI,2000,8463802.0
Haiti,HTI,2001,8608810.0
Haiti,HTI,2002,8754148.0
Haiti,HTI,2003,8900108.0
Haiti,HTI,2004,9047082.0
Haiti,HTI,2005,9195289.0
Haiti,HTI,2006,9344784.0
Haiti,HTI,2007,9495336.0
Haiti,HTI,2008,9646570.0
Haiti,HTI,2009,9798046.0
Haiti,HTI,2010,9949318.0
Haiti,HTI,2011,1.010032E7
Haiti,HTI,2012,1.0250922E7
Haiti,HTI,2013,1.0400672E7
Haiti,HTI,2014,1.0549007E7
Haiti,HTI,2015,1.069554E7
Haiti,HTI,2016,1.0839976E7
Haiti,HTI,2017,1.0982367E7
Haiti,HTI,2018,1.1123183E7
Haiti,HTI,2019,1.1263079E7
Haiti,HTI,2020,1.1402533E7
Haiti,HTI,2021,1.1541683E7
Haiti,HTI,2022,1.1680288E7
