Entity,cca3,Year,population
Indonesia,IDN,1990,1.81413398E8
Indonesia,IDN,1991,1.84591897E8
Indonesia,IDN,1992,1.87739786E8
Indonesia,IDN,1993,1.90851184E8
Indonesia,IDN,1994,1.93917458E8
Indonesia,IDN,1995,1.96934257E8
Indonesia,IDN,1996,1.99901231E8
Indonesia,IDN,1997,2.02826444E8
Indonesia,IDN,1998,2.05724597E8
Indonesia,IDN,1999,2.08615171E8
Indonesia,IDN,2000,2.11513822E8
Indonesia,IDN,2001,2.14427419E8
Indonesia,IDN,2002,2.1735779E8
Indonesia,IDN,2003,2.20309473E8
Indonesia,IDN,2004,2.23285666E8
Indonesia,IDN,2005,2.26289468E8
Indonesia,IDN,2006,2.29318262E8
Indonesia,IDN,2007,2.32374239E8
Indonesia,IDN,2008,2.35469755E8
Indonesia,IDN,2009,2.38620554E8
Indonesia,IDN,2010,2.41834226E8
Indonesia,IDN,2011,2.45115988E8
Indonesia,IDN,2012,2.48451714E8
Indonesia,IDN,2013,2.51805314E8
Indonesia,IDN,2014,2.55128076E8
Indonesia,IDN,2015,2.58383257E8
Indonesia,IDN,2016,2.61556386E8
Indonesia,IDN,2017,2.64650968E8
Indonesia,IDN,2018,2.67670549E8
Indonesia,IDN,2019,2.70625567E8
Indonesia,IDN,2020,2.73523621E8
Indonesia,IDN,2021,2.76361788E8
Indonesia,IDN,2022,2.79134505E8
