Entity,cca3,Year,population
Isle of Man,IMN,1990,70292.0
Isle of Man,IMN,1991,70928.0
Isle of Man,IMN,1992,71262.0
Isle of Man,IMN,1993,71431.0
Isle of Man,IMN,1994,71662.0
Isle of Man,IMN,1995,72133.0
Isle of Man,IMN,1996,72884.0
Isle of Man,IMN,1997,73851.0
Isle of Man,IMN,1998,74936.0
Isle of Man,IMN,1999,75996.0
Isle of Man,IMN,2000,76942.0
Isle of Man,IMN,2001,77707.0
Isle of Man,IMN,2002,78318.0
Isle of Man,IMN,2003,78878.0
Isle of Man,IMN,2004,79515.0
Isle of Man,IMN,2005,80293.0
Isle of Man,IMN,2006,81283.0
Isle of Man,IMN,2007,82406.0
Isle of Man,IMN,2008,83515.0
Isle of Man,IMN,2009,84379.0
Isle of Man,IMN,2010,84856.0
Isle of Man,IMN,2011,84889.0
Isle of Man,IMN,2012,84534.0
Isle of Man,IMN,2013,83985.0
Isle of Man,IMN,2014,83488.0
Isle of Man,IMN,2015,83232.0
Isle of Man,IMN,2016,83296.0
Isle of Man,IMN,2017,83610.0
Isle of Man,IMN,2018,84073.0
Isle of Man,IMN,2019,84589.0
Isle of Man,IMN,2020,85032.0
Isle of Man,IMN,2021,85410.0
Isle of Man,IMN,2022,85737.0
