Entity,cca3,Year,population
India,IND,1990,8.73277799E8
India,IND,1991,8.91273202E8
India,IND,1992,9.09307018E8
India,IND,1993,9.27403866E8
India,IND,1994,9.45601828E8
India,IND,1995,9.63922586E8
India,IND,1996,9.82365248E8
India,IND,1997,1.000900028E9
India,IND,1998,1.019483586E9
India,IND,1999,1.038058154E9
India,IND,2000,1.056575548E9
India,IND,2001,1.075000094E9
India,IND,2002,1.093317187E9
India,IND,2003,1.111523146E9
India,IND,2004,1.129623466E9
India,IND,2005,1.147609924E9
India,IND,2006,1.165486291E9
India,IND,2007,1.183209471E9
India,IND,2008,1.200669762E9
India,IND,2009,1.217726217E9
India,IND,2010,1.234281163E9
India,IND,2011,1.250287939E9
India,IND,2012,1.265780243E9
India,IND,2013,1.280842119E9
India,IND,2014,1.295600768E9
India,IND,2015,1.310152392E9
India,IND,2016,1.32451725E9
India,IND,2017,1.338676779E9
India,IND,2018,1.352642283E9
India,IND,2019,1.366417756E9
India,IND,2020,1.380004385E9
India,IND,2021,1.393409033E9
India,IND,2022,1.406631781E9
