Entity,cca3,Year,population
Iran,IRN,1990,5.6366212E7
Iran,IRN,1991,5.7679025E7
Iran,IRN,1992,5.8780376E7
Iran,IRN,1993,5.9723761E7
Iran,IRN,1994,6.0590608E7
Iran,IRN,1995,6.1442658E7
Iran,IRN,1996,6.2294919E7
Iran,IRN,1997,6.3136309E7
Iran,IRN,1998,6.3971836E7
Iran,IRN,1999,6.4800875E7
Iran,IRN,2000,6.5623397E7
Iran,IRN,2001,6.6449111E7
Iran,IRN,2002,6.7284801E7
Iran,IRN,2003,6.8122947E7
Iran,IRN,2004,6.8951279E7
Iran,IRN,2005,6.9762345E7
Iran,IRN,2006,7.0554756E7
Iran,IRN,2007,7.1336476E7
Iran,IRN,2008,7.2120608E7
Iran,IRN,2009,7.2924833E7
Iran,IRN,2010,7.3762519E7
Iran,IRN,2011,7.4634959E7
Iran,IRN,2012,7.5539881E7
Iran,IRN,2013,7.6481963E7
Iran,IRN,2014,7.7465769E7
Iran,IRN,2015,7.8492208E7
Iran,IRN,2016,7.9563991E7
Iran,IRN,2017,8.0673888E7
Iran,IRN,2018,8.1800204E7
Iran,IRN,2019,8.2913893E7
Iran,IRN,2020,8.3992953E7
Iran,IRN,2021,8.502876E7
Iran,IRN,2022,8.6022843E7
