Entity,cca3,Year,population
Iceland,ISL,1990,255044.0
Iceland,ISL,1991,257616.0
Iceland,ISL,1992,260154.0
Iceland,ISL,1993,262650.0
Iceland,ISL,1994,265140.0
Iceland,ISL,1995,267627.0
Iceland,ISL,1996,270144.0
Iceland,ISL,1997,272709.0
Iceland,ISL,1998,275294.0
Iceland,ISL,1999,277868.0
Iceland,ISL,2000,280439.0
Iceland,ISL,2001,282910.0
Iceland,ISL,2002,285329.0
Iceland,ISL,2003,287955.0
Iceland,ISL,2004,291102.0
Iceland,ISL,2005,294976.0
Iceland,ISL,2006,299727.0
Iceland,ISL,2007,305181.0
Iceland,ISL,2008,310855.0
Iceland,ISL,2009,316057.0
Iceland,ISL,2010,320342.0
Iceland,ISL,2011,323471.0
Iceland,ISL,2012,325642.0
Iceland,ISL,2013,327194.0
Iceland,ISL,2014,328592.0
Iceland,ISL,2015,330237.0
Iceland,ISL,2016,332209.0
Iceland,ISL,2017,334395.0
Iceland,ISL,2018,336712.0
Iceland,ISL,2019,339037.0
Iceland,ISL,2020,341250.0
Iceland,ISL,2021,343360.0
Iceland,ISL,2022,345400.0
