Entity,cca3,Year,population
Israel,ISR,1990,4448348.0
Israel,ISR,1991,4589305.0
Israel,ISR,1992,4752826.0
Israel,ISR,1993,4929413.0
Israel,ISR,1994,5105571.0
Israel,ISR,1995,5271368.0
Israel,ISR,1996,5424241.0
Israel,ISR,1997,5566551.0
Israel,ISR,1998,5699279.0
Israel,ISR,1999,5824944.0
Israel,ISR,2000,5945949.0
Israel,ISR,2001,6060679.0
Israel,ISR,2002,6169311.0
Israel,ISR,2003,6278374.0
Israel,ISR,2004,6396511.0
Israel,ISR,2005,6529470.0
Israel,ISR,2006,6680641.0
Israel,ISR,2007,6847148.0
Israel,ISR,2008,7020832.0
Israel,ISR,2009,7190037.0
Israel,ISR,2010,7346446.0
Israel,ISR,2011,7487095.0
Israel,ISR,2012,7614946.0
Israel,ISR,2013,7734834.0
Israel,ISR,2014,7854216.0
Israel,ISR,2015,7978496.0
Israel,ISR,2016,8108984.0
Israel,ISR,2017,8243849.0
Israel,ISR,2018,8381507.0
Israel,ISR,2019,8519373.0
Israel,ISR,2020,8655541.0
Israel,ISR,2021,8789776.0
Israel,ISR,2022,8922893.0
