Entity,cca3,Year,population
Italy,ITA,1990,5.7048237E7
Italy,ITA,1991,5.7088125E7
Italy,ITA,1992,5.7145308E7
Italy,ITA,1993,5.719761E7
Italy,ITA,1994,5.7213538E7
Italy,ITA,1995,5.7174412E7
Italy,ITA,1996,5.7065231E7
Italy,ITA,1997,5.6903633E7
Italy,ITA,1998,5.6742755E7
Italy,ITA,1999,5.6655629E7
Italy,ITA,2000,5.6692178E7
Italy,ITA,2001,5.6875148E7
Italy,ITA,2002,5.7182521E7
Italy,ITA,2003,5.7564589E7
Italy,ITA,2004,5.7948421E7
Italy,ITA,2005,5.8281209E7
Italy,ITA,2006,5.8542619E7
Italy,ITA,2007,5.8747862E7
Italy,ITA,2008,5.8922116E7
Italy,ITA,2009,5.9105622E7
Italy,ITA,2010,5.9325232E7
Italy,ITA,2011,5.958907E7
Italy,ITA,2012,5.9879469E7
Italy,ITA,2013,6.0166828E7
Italy,ITA,2014,6.0409622E7
Italy,ITA,2015,6.0578489E7
Italy,ITA,2016,6.0663068E7
Italy,ITA,2017,6.0673694E7
Italy,ITA,2018,6.0627291E7
Italy,ITA,2019,6.0550092E7
Italy,ITA,2020,6.0461828E7
Italy,ITA,2021,6.0367471E7
Italy,ITA,2022,6.0262779E7
