Entity,cca3,Year,population
Jamaica,JAM,1990,2419901.0
Jamaica,JAM,1991,2439329.0
Jamaica,JAM,1992,2461047.0
Jamaica,JAM,1993,2484583.0
Jamaica,JAM,1994,2509042.0
Jamaica,JAM,1995,2533705.0
Jamaica,JAM,1996,2558631.0
Jamaica,JAM,1997,2583914.0
Jamaica,JAM,1998,2608874.0
Jamaica,JAM,1999,2632677.0
Jamaica,JAM,2000,2654698.0
Jamaica,JAM,2001,2674706.0
Jamaica,JAM,2002,2692843.0
Jamaica,JAM,2003,2709438.0
Jamaica,JAM,2004,2725017.0
Jamaica,JAM,2005,2740000.0
Jamaica,JAM,2006,2754414.0
Jamaica,JAM,2007,2768229.0
Jamaica,JAM,2008,2781869.0
Jamaica,JAM,2009,2795839.0
Jamaica,JAM,2010,2810464.0
Jamaica,JAM,2011,2825932.0
Jamaica,JAM,2012,2842128.0
Jamaica,JAM,2013,2858710.0
Jamaica,JAM,2014,2875137.0
Jamaica,JAM,2015,2891024.0
Jamaica,JAM,2016,2906242.0
Jamaica,JAM,2017,2920848.0
Jamaica,JAM,2018,2934853.0
Jamaica,JAM,2019,2948277.0
Jamaica,JAM,2020,2961161.0
Jamaica,JAM,2021,2973462.0
Jamaica,JAM,2022,2985087.0
