Entity,cca3,Year,population
Japan,JPN,1990,1.24505243E8
Japan,JPN,1991,1.24929764E8
Japan,JPN,1992,1.253313E8
Japan,JPN,1993,1.25707407E8
Japan,JPN,1994,1.26053127E8
Japan,JPN,1995,1.26365486E8
Japan,JPN,1996,1.26644099E8
Japan,JPN,1997,1.26892745E8
Japan,JPN,1998,1.27117436E8
Japan,JPN,1999,1.27326063E8
Japan,JPN,2000,1.27524168E8
Japan,JPN,2001,1.27713824E8
Japan,JPN,2002,1.27893075E8
Japan,JPN,2003,1.28058368E8
Japan,JPN,2004,1.28204183E8
Japan,JPN,2005,1.28326115E8
Japan,JPN,2006,1.2842274E8
Japan,JPN,2007,1.2849405E8
Japan,JPN,2008,1.28538644E8
Japan,JPN,2009,1.28555196E8
Japan,JPN,2010,1.28542349E8
Japan,JPN,2011,1.28498966E8
Japan,JPN,2012,1.28423571E8
Japan,JPN,2013,1.28314189E8
Japan,JPN,2014,1.2816863E8
Japan,JPN,2015,1.27985139E8
Japan,JPN,2016,1.27763267E8
Japan,JPN,2017,1.27502728E8
Japan,JPN,2018,1.2720219E8
Japan,JPN,2019,1.26860299E8
Japan,JPN,2020,1.26476458E8
Japan,JPN,2021,1.26050796E8
Japan,JPN,2022,1.25584839E8
