Entity,cca3,Year,population
Kazakhstan,KAZ,1990,1.6383881E7
Kazakhstan,KAZ,1991,1.6373308E7
Kazakhstan,KAZ,1992,1.6302809E7
Kazakhstan,KAZ,1993,1.6181161E7
Kazakhstan,KAZ,1994,1.6022224E7
Kazakhstan,KAZ,1995,1.5839357E7
Kazakhstan,KAZ,1996,1.5631926E7
Kazakhstan,KAZ,1997,1.5406005E7
Kazakhstan,KAZ,1998,1.5190168E7
Kazakhstan,KAZ,1999,1.5020573E7
Kazakhstan,KAZ,2000,1.4922724E7
Kazakhstan,KAZ,2001,1.4910207E7
Kazakhstan,KAZ,2002,1.4976184E7
Kazakhstan,KAZ,2003,1.5100045E7
Kazakhstan,KAZ,2004,1.5250016E7
Kazakhstan,KAZ,2005,1.5402803E7
Kazakhstan,KAZ,2006,1.5551263E7
Kazakhstan,KAZ,2007,1.5702112E7
Kazakhstan,KAZ,2008,1.5862126E7
Kazakhstan,KAZ,2009,1.6043015E7
Kazakhstan,KAZ,2010,1.6252273E7
Kazakhstan,KAZ,2011,1.6490669E7
Kazakhstan,KAZ,2012,1.6751523E7
Kazakhstan,KAZ,2013,1.7026118E7
Kazakhstan,KAZ,2014,1.7302619E7
Kazakhstan,KAZ,2015,1.757201E7
Kazakhstan,KAZ,2016,1.7830902E7
Kazakhstan,KAZ,2017,1.8080023E7
Kazakhstan,KAZ,2018,1.8319616E7
Kazakhstan,KAZ,2019,1.8551428E7
Kazakhstan,KAZ,2020,1.8776707E7
Kazakhstan,KAZ,2021,1.8994958E7
Kazakhstan,KAZ,2022,1.9205038E7
