Entity,cca3,Year,population
Kenya,KEN,1990,2.3724574E7
Kenya,KEN,1991,2.4521714E7
Kenya,KEN,1992,2.532608E7
Kenya,KEN,1993,2.6136217E7
Kenya,KEN,1994,2.6950508E7
Kenya,KEN,1995,2.7768297E7
Kenya,KEN,1996,2.8589456E7
Kenya,KEN,1997,2.941566E7
Kenya,KEN,1998,3.0250488E7
Kenya,KEN,1999,3.1098763E7
Kenya,KEN,2000,3.1964557E7
Kenya,KEN,2001,3.2848569E7
Kenya,KEN,2002,3.3751746E7
Kenya,KEN,2003,3.4678781E7
Kenya,KEN,2004,3.5635267E7
Kenya,KEN,2005,3.6624897E7
Kenya,KEN,2006,3.7649039E7
Kenya,KEN,2007,3.8705934E7
Kenya,KEN,2008,3.9791984E7
Kenya,KEN,2009,4.0901798E7
Kenya,KEN,2010,4.2030684E7
Kenya,KEN,2011,4.317827E7
Kenya,KEN,2012,4.4343469E7
Kenya,KEN,2013,4.5519986E7
Kenya,KEN,2014,4.6700063E7
Kenya,KEN,2015,4.7878339E7
Kenya,KEN,2016,4.9051531E7
Kenya,KEN,2017,5.0221146E7
Kenya,KEN,2018,5.139257E7
Kenya,KEN,2019,5.2573967E7
Kenya,KEN,2020,5.37713E7
Kenya,KEN,2021,5.4985702E7
Kenya,KEN,2022,5.6215224E7
