Entity,cca3,Year,population
Cambodia,KHM,1990,8975597.0
Cambodia,KHM,1991,9289298.0
Cambodia,KHM,1992,9623899.0
Cambodia,KHM,1993,9970727.0
Cambodia,KHM,1994,1.0317901E7
Cambodia,KHM,1995,1.0656145E7
Cambodia,KHM,1996,1.0982919E7
Cambodia,KHM,1997,1.1298594E7
Cambodia,KHM,1998,1.160051E7
Cambodia,KHM,1999,1.1886464E7
Cambodia,KHM,2000,1.2155241E7
Cambodia,KHM,2001,1.2405411E7
Cambodia,KHM,2002,1.2637719E7
Cambodia,KHM,2003,1.2856171E7
Cambodia,KHM,2004,1.3066475E7
Cambodia,KHM,2005,1.3273355E7
Cambodia,KHM,2006,1.3477705E7
Cambodia,KHM,2007,1.3679953E7
Cambodia,KHM,2008,1.3883835E7
Cambodia,KHM,2009,1.4093605E7
Cambodia,KHM,2010,1.4312205E7
Cambodia,KHM,2011,1.4541421E7
Cambodia,KHM,2012,1.4780454E7
Cambodia,KHM,2013,1.502633E7
Cambodia,KHM,2014,1.5274506E7
Cambodia,KHM,2015,1.5521435E7
Cambodia,KHM,2016,1.576629E7
Cambodia,KHM,2017,1.6009413E7
Cambodia,KHM,2018,1.6249795E7
Cambodia,KHM,2019,1.6486542E7
Cambodia,KHM,2020,1.6718971E7
Cambodia,KHM,2021,1.6946446E7
Cambodia,KHM,2022,1.7168635E7
