Entity,cca3,Year,population
Kiribati,KIR,1990,72394.0
Kiribati,KIR,1991,73692.0
Kiribati,KIR,1992,74767.0
Kiribati,KIR,1993,75711.0
Kiribati,KIR,1994,76668.0
Kiribati,KIR,1995,77716.0
Kiribati,KIR,1996,78904.0
Kiribati,KIR,1997,80188.0
Kiribati,KIR,1998,81558.0
Kiribati,KIR,1999,82969.0
Kiribati,KIR,2000,84405.0
Kiribati,KIR,2001,85844.0
Kiribati,KIR,2002,87308.0
Kiribati,KIR,2003,88840.0
Kiribati,KIR,2004,90498.0
Kiribati,KIR,2005,92319.0
Kiribati,KIR,2006,94341.0
Kiribati,KIR,2007,96531.0
Kiribati,KIR,2008,98760.0
Kiribati,KIR,2009,100928.0
Kiribati,KIR,2010,102930.0
Kiribati,KIR,2011,104735.0
Kiribati,KIR,2012,106359.0
Kiribati,KIR,2013,107887.0
Kiribati,KIR,2014,109387.0
Kiribati,KIR,2015,110927.0
Kiribati,KIR,2016,112529.0
Kiribati,KIR,2017,114153.0
Kiribati,KIR,2018,115842.0
Kiribati,KIR,2019,117608.0
Kiribati,KIR,2020,119446.0
Kiribati,KIR,2021,121388.0
Kiribati,KIR,2022,123416.0
