Entity,cca3,Year,population
Saint Kitts and Nevis,KNA,1990,40260.0
Saint Kitts and Nevis,KNA,1991,40381.0
Saint Kitts and Nevis,KNA,1992,40691.0
Saint Kitts and Nevis,KNA,1993,41141.0
Saint Kitts and Nevis,KNA,1994,41618.0
Saint Kitts and Nevis,KNA,1995,42077.0
Saint Kitts and Nevis,KNA,1996,42472.0
Saint Kitts and Nevis,KNA,1997,42857.0
Saint Kitts and Nevis,KNA,1998,43225.0
Saint Kitts and Nevis,KNA,1999,43622.0
Saint Kitts and Nevis,KNA,2000,44083.0
Saint Kitts and Nevis,KNA,2001,44602.0
Saint Kitts and Nevis,KNA,2002,45168.0
Saint Kitts and Nevis,KNA,2003,45749.0
Saint Kitts and Nevis,KNA,2004,46323.0
Saint Kitts and Nevis,KNA,2005,46852.0
Saint Kitts and Nevis,KNA,2006,47333.0
Saint Kitts and Nevis,KNA,2007,47769.0
Saint Kitts and Nevis,KNA,2008,48178.0
Saint Kitts and Nevis,KNA,2009,48599.0
Saint Kitts and Nevis,KNA,2010,49011.0
Saint Kitts and Nevis,KNA,2011,49442.0
Saint Kitts and Nevis,KNA,2012,49881.0
Saint Kitts and Nevis,KNA,2013,50328.0
Saint Kitts and Nevis,KNA,2014,50776.0
Saint Kitts and Nevis,KNA,2015,51204.0
Saint Kitts and Nevis,KNA,2016,51629.0
Saint Kitts and Nevis,KNA,2017,52036.0
Saint Kitts and Nevis,KNA,2018,52438.0
Saint Kitts and Nevis,KNA,2019,52834.0
Saint Kitts and Nevis,KNA,2020,53192.0
Saint Kitts and Nevis,KNA,2021,53546.0
Saint Kitts and Nevis,KNA,2022,53864.0
