Entity,cca3,Year,population
South Korea,KOR,1990,4.2918416E7
South Korea,KOR,1991,4.3373148E7
South Korea,KOR,1992,4.3848223E7
South Korea,KOR,1993,4.4335037E7
South Korea,KOR,1994,4.482007E7
South Korea,KOR,1995,4.5292521E7
South Korea,KOR,1996,4.5751023E7
South Korea,KOR,1997,4.6196056E7
South Korea,KOR,1998,4.6620698E7
South Korea,KOR,1999,4.7016952E7
South Korea,KOR,2000,4.7379237E7
South Korea,KOR,2001,4.7706226E7
South Korea,KOR,2002,4.7999551E7
South Korea,KOR,2003,4.8260901E7
South Korea,KOR,2004,4.8493434E7
South Korea,KOR,2005,4.8701069E7
South Korea,KOR,2006,4.8880449E7
South Korea,KOR,2007,4.9034813E7
South Korea,KOR,2008,4.9182458E7
South Korea,KOR,2009,4.934745E7
South Korea,KOR,2010,4.9545638E7
South Korea,KOR,2011,4.9786153E7
South Korea,KOR,2012,5.0060639E7
South Korea,KOR,2013,5.034572E7
South Korea,KOR,2014,5.0607904E7
South Korea,KOR,2015,5.0823087E7
South Korea,KOR,2016,5.0983446E7
South Korea,KOR,2017,5.1096408E7
South Korea,KOR,2018,5.11717E7
South Korea,KOR,2019,5.1225321E7
South Korea,KOR,2020,5.1269183E7
South Korea,KOR,2021,5.1305184E7
South Korea,KOR,2022,5.1329905E7
